,feature,importance,std,lower,higher,,
0,citations,0.188,0.139,0.160756,0.215244,,genus
1,canopy,0.108,0.097,0.088988,0.127012,,0.107
2,flii,0.053,0.088,0.035752,0.070248,,
3,genus_Bichromomyia,0.051,0.038,0.043552,0.058448,,
4,ghm,0.045,0.049,0.035396,0.054604,,
5,genus_Pintomyia,0.042,0.036,0.034944,0.049056,,
6,no.lat.teeth,0.041,0.043,0.032572,0.049428,,
7,ecoregion.breadth,0.032,0.037,0.024748,0.039252,,
8,semi.domestic,0.03,0.045,0.02118,0.03882,,
9,temp.range,0.028,0.029,0.022316,0.033684,,
10,domestic,0.021,0.042,0.012768,0.029232,,
11,rainfall,0.019,0.022,0.014688,0.023312,,
12,mh.oihd,0.018,0.022,0.013688,0.022312,,
13,seas.wint,0.018,0.023,0.013492,0.022508,,
14,subtribe_Psychodopygina,0.016,0.023,0.011492,0.020508,,
15,temp,0.015,0.024,0.010296,0.019704,,
16,tree.cover,0.014,0.023,0.009492,0.018508,,
17,mh.tt,0.014,0.025,0.0091,0.0189,,
18,mh.flfs,0.012,0.017,0.008668,0.015332,,
19,water.perm.cover,0.012,0.03,0.00612,0.01788,,
20,seas.summ,0.01,0.022,0.005688,0.014312,,
21,evi,0.01,0.016,0.006864,0.013136,,
22,labrum.length,0.01,0.016,0.006864,0.013136,,
23,wind.speed,0.009,0.021,0.004884,0.013116,,
24,A3_wingl,0.009,0.015,0.00606,0.01194,,
25,grass.cover,0.009,0.017,0.005668,0.012332,,
26,urban.cover,0.007,0.01,0.00504,0.00896,,
27,mh.ab,0.007,0.012,0.004648,0.009352,,
28,no.ven.teeth,0.007,0.012,0.004648,0.009352,,
29,wing.length,0.007,0.012,0.004648,0.009352,,
30,mh.th,0.007,0.01,0.00504,0.00896,,
31,crops.cover,0.007,0.014,0.004256,0.009744,,
32,b.montane,0.006,0.011,0.003844,0.008156,,
33,mh.fwsl,0.006,0.011,0.003844,0.008156,,
34,act.di,0.005,0.009,0.003236,0.006764,,
35,hs.canopy,0.005,0.012,0.002648,0.007352,,
36,b.tsmbf,0.004,0.009,0.002236,0.005764,,
37,genus_Evandromyia,0.004,0.007,0.002628,0.005372,,
38,mh.ada,0.004,0.009,0.002236,0.005764,,
39,no.cib.teeth,0.003,0.006,0.001824,0.004176,,
40,water.seas.cover,0.003,0.007,0.001628,0.004372,,
41,subtribe_Lutzomyiina,0.003,0.006,0.001824,0.004176,,
42,mh.tttr,0.003,0.006,0.001824,0.004176,,
43,wingl_wingw,0.003,0.008,0.001432,0.004568,,
44,b.tsgss,0.003,0.007,0.001628,0.004372,,
45,mh.ma,0.003,0.007,0.001628,0.004372,,
46,genus_Brumptomyia,0.003,0.007,0.001628,0.004372,,
47,exta,0.003,0.008,0.001432,0.004568,,
48,act.noct,0.003,0.006,0.001824,0.004176,,
49,genus_Nyssomyia,0.003,0.006,0.001824,0.004176,,
50,mh.ca,0.002,0.007,0.000628,0.003372,,
51,hs.floor,0.002,0.006,0.000824,0.003176,,
52,b.tsdbf,0.002,0.006,0.000824,0.003176,,
53,gonotrophic,0.002,0.005,0.00102,0.00298,,
54,mh.bwa,0.002,0.005,0.00102,0.00298,,
55,genus_Lutzomyia,0.002,0.006,0.000824,0.003176,,
56,genus_Micropygomyia,0.002,0.004,0.001216,0.002784,,
57,mh.cr,0.002,0.005,0.00102,0.00298,,
58,b.fgs,0.001,0.003,0.000412,0.001588,,
59,b.mangrove,0.001,0.005,2.00E-05,0.00198,,
60,b.tgss,0.001,0.004,0.000216,0.001784,,
61,wild,0.001,0.009,-0.000764,0.002764,,
62,act.crep,0.001,0.003,0.000412,0.001588,,
63,synarthropy,0.001,0.003,0.000412,0.001588,,
64,b.dxs,0.001,0.004,0.000216,0.001784,,
