,scientificName,decimalLatitude,decimalLongitude
0,Warileya rotundipennis,5.8137,-75.8225
1,Warileya rotundipennis,5.81,-75.82
2,Evandromyia (Evandromyia) infraspinosa,3.87,-51.85
3,Evandromyia (Evandromyia) infraspinosa,4.33,-52.35
4,Evandromyia (Evandromyia) infraspinosa,5.3,-53.28
5,Evandromyia (Evandromyia) infraspinosa,4.94,-52.31
6,Evandromyia (Evandromyia) infraspinosa,4.89,-52.31
7,Evandromyia (Evandromyia) infraspinosa,0.778056,-51.9436
8,Evandromyia (Evandromyia) infraspinosa,-7.448889,-65.9125
9,Evandromyia (Evandromyia) infraspinosa,-3.74194,-47.4947
10,Evandromyia (Evandromyia) infraspinosa,-0.366667,-51.0664
11,Evandromyia (Evandromyia) infraspinosa,-10.7828,-65.3394
12,Nyssomyia antunesi,5.016667,-72.76
13,Nyssomyia antunesi,4.986045,-72.603545
14,Nyssomyia antunesi,-6.9575,-66.3075
15,Nyssomyia antunesi,-6.965556,-66.316667
16,Nyssomyia antunesi,-6.8925,-66.201111
17,Nyssomyia antunesi,-7.25861,-64.7981
18,Nyssomyia antunesi,-18.9181,-54.8442
19,Nyssomyia antunesi,-3.74194,-47.4947
20,Nyssomyia antunesi,-4.285,-47.505
21,Nyssomyia antunesi,-2.99583,-47.3528
22,Nyssomyia antunesi,-1.74639,-47.0594
23,Nyssomyia antunesi,-10.7081,-48.4172
24,Nyssomyia antunesi,-10.7633,-48.1089
25,Nyssomyia antunesi,-14.74,-57.0539
26,Nyssomyia antunesi,-10.8178,-55.4508
27,Nyssomyia antunesi,-9.87556,-56.0861
28,Nyssomyia antunesi,-11.8642,-55.5025
29,Psychodopygus amazonensis,4.04,-52.67
30,Psychodopygus amazonensis,4.89,-52.29
31,Psychodopygus amazonensis,4.91,-52.3
32,Psychodopygus amazonensis,-14.74,-57.0539
33,Psychodopygus amazonensis,-2.44306,-54.7083
34,Psychodopygus amazonensis,-3.10194,-60.025
35,Psychodopygus amazonensis,1.81611,-61.1281
36,Psychodopygus amazonensis,0.713333,-51.4133
37,Psychodopygus claustrei,3.87,-51.85
38,Psychodopygus claustrei,3.88,-51.81
39,Psychodopygus claustrei,5.3,-53.28
40,Psychodopygus claustrei,-6.8925,-66.201111
41,Psychodopygus claustrei,-6.9575,-66.3075
42,Psychodopygus claustrei,-5.62833,-63.1833
43,Psychodopygus claustrei,0.778056,-51.9436
44,Psychodopygus claustrei,-7.25861,-64.7981
45,Psychodopygus claustrei,-12.5453,-55.7114
46,Psychodopygus claustrei,-3.10194,-60.025
47,Psychodopygus guyanensis,-6.8925,-66.201111
48,Psychodopygus guyanensis,-0.366667,-51.0664
49,Warileya rotundipennis,3.794028,-75.571139
50,Warileya rotundipennis,4.584312,-75.494332
51,Sciopemyia sordellii,-16.518056,-57.55
52,Trichophoromyia auraensis,-10.037083,-67.785278
53,Nyssomyia antunesi,-10.037083,-67.785278
54,Sciopemyia sordellii,-10.037083,-67.785278
55,Trichophoromyia auraensis,-9.55802,-67.51763
56,Nyssomyia antunesi,-2.635,-44.148056
57,Evandromyia (Evandromyia) infraspinosa,-2.635,-44.148056
58,Psychodopygus claustrei,-2.635,-44.148056
59,Sciopemyia sordellii,-2.635,-44.148056
60,Sciopemyia sordellii,-22.108889,-56.521111
61,Psychodopygus claustrei,-20.46989408,-54.62373346
62,Nyssomyia antunesi,-20.46989408,-54.62373346
63,Sciopemyia sordellii,-20.46989408,-54.62373346
