,scientificName,decimalLatitude,decimalLongitude
0,Psychodopygus wellcomei,-20.1389,-44.8839
1,Evandromyia (Aldamyia) lenti,-20.1389,-44.8839
2,Evandromyia (Aldamyia) lenti,-19.225,-40.8514
3,Evandromyia (Aldamyia) lenti,-14.84441,-44.222166
4,Evandromyia (Aldamyia) lenti,-14.849817,-44.221783
5,Evandromyia (Aldamyia) lenti,-14.858692,-44.229808
6,Evandromyia (Aldamyia) lenti,-17.5981,-44.7308
7,Evandromyia (Aldamyia) lenti,-21.8425,-43.7931
8,Evandromyia (Aldamyia) lenti,-14.850597,-44.230767
9,Evandromyia (Aldamyia) lenti,-14.845041,-44.218608
10,Evandromyia (Aldamyia) lenti,-14.863325,-44.231039
11,Evandromyia (Aldamyia) lenti,-10.2128,-48.3603
12,Evandromyia (Aldamyia) lenti,-18.3808,-44.4564
13,Evandromyia (Aldamyia) lenti,-17.8867,-44.5775
14,Evandromyia (Aldamyia) lenti,-21.8878,-42.7044
15,Evandromyia (Aldamyia) lenti,-20.0747,-43.4075
16,Evandromyia (Aldamyia) lenti,-20.5231,-41.9044
17,Evandromyia (Aldamyia) lenti,-5.68056,-42.7386
18,Evandromyia (Aldamyia) lenti,-5.45583,-42.3603
19,Evandromyia (Aldamyia) lenti,-5.81694,-42.5131
20,Evandromyia (Aldamyia) lenti,-9.40722,-36.6275
21,Evandromyia (Aldamyia) lenti,-3.92806,-41.7092
22,Evandromyia (Aldamyia) lenti,-9.01528,-42.6994
23,Evandromyia (Aldamyia) lenti,-10.7633,-48.1089
24,Evandromyia (Aldamyia) lenti,-10.7081,-48.4172
25,Evandromyia (Aldamyia) lenti,-18.4192,-49.2153
26,Evandromyia (Aldamyia) lenti,-18.5922,-48.705
27,Evandromyia (Aldamyia) lenti,-7.115,-34.8631
28,Evandromyia (Aldamyia) lenti,-19.7122,-42.7322
29,Evandromyia (Aldamyia) lenti,-20.2581,-42.0336
30,Evandromyia (Aldamyia) lenti,-20.2406,-56.3783
31,Evandromyia (Aldamyia) lenti,-19.3911,-40.0722
32,Evandromyia (Aldamyia) lenti,-19.6272,-43.8897
33,Evandromyia (Aldamyia) lenti,-20.3625,-43.1447
34,Evandromyia (Aldamyia) lenti,-19.5189,-41.0158
35,Evandromyia (Aldamyia) lenti,-20.2828,-43.0411
36,Evandromyia (Aldamyia) lenti,-21.7575,-45.5411
37,Evandromyia (Aldamyia) lenti,-19.6181,-44.0431
38,Evandromyia (Aldamyia) lenti,-21.235,-45.7586
39,Evandromyia (Aldamyia) lenti,-6.80306,-35.0806
40,Evandromyia (Aldamyia) lenti,-6.83861,-35.1261
41,Evandromyia (Aldamyia) lenti,-17.2222,-46.8747
42,Evandromyia (Aldamyia) lenti,-15.4881,-44.3617
43,Evandromyia (Aldamyia) lenti,-14.8053,-46.2531
44,Evandromyia edwardsi,-20.427222,-45.75
45,Evandromyia edwardsi,-20.035278,-43.494167
46,Evandromyia edwardsi,-20.419444,-41.386944
47,Evandromyia edwardsi,-19.225,-40.8514
48,Evandromyia edwardsi,-19.228889,-40.758611
49,Evandromyia edwardsi,-19.9356,-40.6003
50,Evandromyia edwardsi,-19.228,-40.758
51,Evandromyia edwardsi,-20.0406,-40.7461
52,Evandromyia edwardsi,-20.3706,-45.6614
53,Evandromyia edwardsi,-20.2639,-40.42
54,Evandromyia edwardsi,-22.8833,-43.1036
55,Evandromyia edwardsi,-24.58,-48.59
56,Evandromyia edwardsi,-20.7928,-43.9303
57,Evandromyia edwardsi,-19.7897,-42.1392
58,Evandromyia edwardsi,-19.7122,-42.7322
59,Evandromyia edwardsi,-19.0372,-43.425
60,Evandromyia edwardsi,-20.3903,-40.4961
61,Evandromyia edwardsi,-22.505,-43.1786
62,Evandromyia edwardsi,-20.0875,-43.7894
63,Evandromyia edwardsi,-20.3683,-41.2439
64,Evandromyia edwardsi,-23.9411,-51.5875
65,Evandromyia edwardsi,-19.9208,-43.9378
66,Evandromyia edwardsi,-18.9672,-43.2558
67,Evandromyia edwardsi,-20.3625,-43.1447
68,Evandromyia edwardsi,-20.2828,-43.0411
69,Evandromyia edwardsi,-23.76,-45.41
70,Evandromyia edwardsi,-20.9756,-43.1892
71,Evandromyia edwardsi,-26.3044,-48.8456
72,Evandromyia edwardsi,-22.4039,-43.6625
73,Evandromyia edwardsi,-21.8808,-45.0853
74,Evandromyia edwardsi,-26.9078,-48.6619
75,Evandromyia edwardsi,-25.095,-50.1619
76,Evandromyia edwardsi,-22.2456,-43.7003
77,Evandromyia edwardsi,-22.9597,-44.0406
78,Evandromyia edwardsi,-19.2808,-42.0067
79,Evandromyia edwardsi,-22.7856,-43.3117
80,Lutzomyia (Helcocyrtomyia) hartmanni,5.3333,-74.9333
81,Lutzomyia (Helcocyrtomyia) hartmanni,5.33,-74.93
82,Lutzomyia (Helcocyrtomyia) noguchii,-11.8447,-76.3861
83,Lutzomyia (Lutzomyia) cruzi,-16.0706,-57.6789
84,Lutzomyia (Lutzomyia) cruzi,-16.402,-57.499
85,Lutzomyia (Lutzomyia) cruzi,-18.9835,-57.8019
86,Lutzomyia (Lutzomyia) cruzi,-19.05,-57.6479
87,Lutzomyia (Lutzomyia) cruzi,-19.0092,-57.6533
88,Lutzomyia (Lutzomyia) cruzi,-20.3833,-40.495
89,Lutzomyia (Lutzomyia) cruzi,-16.9478,-50.4486
90,Lutzomyia (Lutzomyia) cruzi,-19.5314,-54.0439
91,Lutzomyia (Lutzomyia) cruzi,-21.1211,-56.4819
92,Lutzomyia (Lutzomyia) cruzi,-16.95804,-50.435167
93,Lutzomyia (Lutzomyia) cruzi,-19.0064,-57.8129
94,Lutzomyia (Lutzomyia) lichyi,4.5689,-75.8508
95,Lutzomyia (Lutzomyia) lichyi,4.57,-75.85
96,Lutzomyia (Lutzomyia) longipalpis,9.5,-75.35
97,Lutzomyia (Lutzomyia) longipalpis,4.311197,-74.652171
98,Lutzomyia (Lutzomyia) longipalpis,4.112317,-74.569978
99,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
100,Lutzomyia (Lutzomyia) longipalpis,19.7364,-88.9565
101,Lutzomyia (Lutzomyia) longipalpis,-20.427222,-45.75
102,Lutzomyia (Lutzomyia) longipalpis,13.294,-87.656
103,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
104,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
105,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
106,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
107,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
108,Lutzomyia (Lutzomyia) longipalpis,-19.225,-40.8514
109,Lutzomyia (Lutzomyia) longipalpis,-19.228889,-40.758611
110,Lutzomyia (Lutzomyia) longipalpis,-14.847022,-44.220713
111,Lutzomyia (Lutzomyia) longipalpis,-14.851066,-44.233156
112,Lutzomyia (Lutzomyia) longipalpis,-14.84441,-44.222166
113,Lutzomyia (Lutzomyia) longipalpis,-14.863325,-44.231039
114,Lutzomyia (Lutzomyia) longipalpis,-17.5981,-44.7308
115,Lutzomyia (Lutzomyia) longipalpis,-14.845655,-44.216133
116,Lutzomyia (Tricholateralis) cruciata,18.5345,-88.3353
117,Lutzomyia (Tricholateralis) cruciata,19.3786,-88.1892
118,Lutzomyia (Tricholateralis) cruciata,13.294,-87.656
119,Lutzomyia (Tricholateralis) cruciata,16.335,-95.476389
120,Lutzomyia (Tricholateralis) cruciata,16.303611,-95.534722
121,Lutzomyia (Tricholateralis) cruciata,18.445,-95.060278
122,Lutzomyia (Tricholateralis) cruciata,19.574722,-96.577778
123,Lutzomyia (Tricholateralis) cruciata,18.567222,-88.256944
124,Lutzomyia (Tricholateralis) cruciata,18.582056,-88.305528
125,Lutzomyia (Tricholateralis) diabolica,18.235278,-97.127222
126,Lutzomyia (Tricholateralis) diabolica,27.878611,-101.446944
127,Lutzomyia (Tricholateralis) diabolica,25.716111,-99.625
128,Lutzomyia (Tricholateralis) diabolica,18.24,-99.661111
129,Lutzomyia (Tricholateralis) diabolica,19.043056,-101.162222
130,Lutzomyia (Tricholateralis) diabolica,18.626389,-100.896944
131,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
132,Lutzomyia (Tricholateralis) gomezi,4.986045,-72.603545
133,Lutzomyia (Tricholateralis) gomezi,8.825083,-75.51825
134,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
135,Lutzomyia (Tricholateralis) gomezi,5.3808,-75.7908
136,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
137,Lutzomyia (Tricholateralis) gomezi,5.38,-75.79
138,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
139,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
140,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
141,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
142,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
143,Lutzomyia (Tricholateralis) gomezi,9.164,-79.863
144,Lutzomyia (Tricholateralis) gomezi,9.161,-79.861
145,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
146,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
147,Lutzomyia (Tricholateralis) gomezi,-10.8853,-61.9517
148,Lutzomyia (Tricholateralis) gomezi,-1.45583,-48.5044
149,Lutzomyia (Tricholateralis) gomezi,-0.366667,-51.0664
150,Lutzomyia (Tricholateralis) gomezi,-8.76194,-63.9039
151,Migonemyia (Migonemyia) migonei,-20.427222,-45.75
152,Migonemyia (Migonemyia) migonei,-20.419444,-41.386944
153,Migonemyia (Migonemyia) migonei,-26.3028,-58.815
154,Migonemyia (Migonemyia) migonei,-19.8019,-40.8556
155,Migonemyia (Migonemyia) migonei,-19.737,-40.969
156,Migonemyia (Migonemyia) migonei,-19.228889,-40.758611
157,Migonemyia (Migonemyia) migonei,-19.225,-40.8514
158,Migonemyia (Migonemyia) migonei,-19.228,-40.758
159,Migonemyia (Migonemyia) migonei,-20.0406,-40.7461
160,Migonemyia (Migonemyia) migonei,-17.8867,-44.5775
161,Migonemyia (Migonemyia) migonei,-14.851066,-44.233156
162,Migonemyia (Migonemyia) migonei,-20.3706,-45.6614
163,Migonemyia (Migonemyia) migonei,-14.863325,-44.231039
164,Migonemyia (Migonemyia) migonei,-14.846135,-44.223893
165,Migonemyia (Migonemyia) migonei,-14.845041,-44.218608
166,Migonemyia (Migonemyia) migonei,-14.849817,-44.221783
167,Migonemyia (Migonemyia) migonei,-14.846669,-44.219267
168,Migonemyia (Migonemyia) migonei,-21.8878,-42.7044
169,Migonemyia (Migonemyia) migonei,-18.2494,-43.6003
170,Migonemyia (Migonemyia) migonei,-20.5231,-41.9044
171,Migonemyia (Migonemyia) migonei,-20.4333,-41.8683
172,Migonemyia (Migonemyia) migonei,-20.1006,-40.5297
173,Migonemyia (Migonemyia) migonei,-20.6964,-44.8272
174,Migonemyia (Migonemyia) migonei,-18.8625,-41.1228
175,Migonemyia (Migonemyia) migonei,-20.3633,-40.6592
176,Migonemyia (Migonemyia) migonei,-9.40722,-36.6275
177,Pintomyia (Pifanomyia) monticola,-20.035278,-43.494167
178,Pintomyia (Pifanomyia) monticola,-20.419444,-41.386944
179,Pintomyia (Pifanomyia) monticola,-19.988,-40.547
180,Pintomyia (Pifanomyia) monticola,-19.908,-40.657
181,Pintomyia (Pifanomyia) monticola,-18.852,-41.066
182,Pintomyia (Pifanomyia) monticola,-18.976,-40.042
