scientificName,decimalLatitude,decimalLongitude
Warileya rotundipennis,5.8137,-75.8225
Warileya rotundipennis,5.8137,-75.8225
Warileya rotundipennis,5.8137,-75.8225
Warileya rotundipennis,5.81,-75.82
Warileya rotundipennis,5.81,-75.82
Warileya rotundipennis,5.81,-75.82
Brumptomyia avellari,-14.858692,-44.229808
Brumptomyia avellari,-14.863325,-44.231039
Brumptomyia avellari,-14.845041,-44.218608
Brumptomyia avellari,-14.863325,-44.231039
Brumptomyia avellari,-14.863325,-44.231039
Brumptomyia avellari,-14.863325,-44.231039
Brumptomyia avellari,-14.858692,-44.229808
Brumptomyia avellari,-14.845329,-44.218575
Brumptomyia beaupertuyi,5.8137,-75.7995
Brumptomyia beaupertuyi,5.81,-75.8
Brumptomyia brumpti,0.778056,-51.9436
Brumptomyia brumpti,-20.1389,-44.8839
Psychodopygus wellcomei,-20.1389,-44.8839
Brumptomyia brumpti,-22.0431,-45.6992
Brumptomyia carvalheiroi,-20.035278,-43.494167
Brumptomyia cunhai,-20.419444,-41.386944
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.225,-40.8514
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228889,-40.758611
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.228,-40.758
Brumptomyia cunhai,-19.9208,-43.9378
Brumptomyia galindoi,18.5345,-88.3353
Brumptomyia galindoi,18.5345,-88.3353
Brumptomyia galindoi,18.5345,-88.3353
Brumptomyia galindoi,18.5345,-88.3353
Brumptomyia galindoi,18.5345,-88.3353
Brumptomyia galindoi,10.7637,-85.333
Brumptomyia galindoi,19.425278,-96.791389
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.567222,-88.256944
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.582056,-88.305528
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.573861,-88.255611
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.575694,-88.269194
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.509833,-88.348972
Brumptomyia galindoi,18.559389,-88.275333
Brumptomyia galindoi,18.559389,-88.275333
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.506,-88.366556
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.486333,-88.353861
Brumptomyia galindoi,18.551722,-88.320667
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.50475,-88.349722
Brumptomyia galindoi,18.558111,-88.285694
Brumptomyia galindoi,18.549222,-88.316389
Brumptomyia galindoi,18.552639,-88.399333
Brumptomyia galindoi,18.552639,-88.399333
Brumptomyia galindoi,18.576472,-88.393278
Brumptomyia galindoi,18.533333,-90.474722
Brumptomyia galindoi,20.549722,-89.83
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,17.977778,-89.353889
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.472222,-88.125833
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
Brumptomyia galindoi,19.869722,-89.217222
