,scientificName,decimalLatitude,decimalLongitude
3213,Lutzomyia (Lutzomyia) longipalpis,9.5,-75.35
3214,Lutzomyia (Lutzomyia) longipalpis,9.5,-75.35
3215,Lutzomyia (Lutzomyia) longipalpis,4.311197,-74.652171
3216,Lutzomyia (Lutzomyia) longipalpis,4.112317,-74.569978
3217,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3218,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3219,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3220,Lutzomyia (Lutzomyia) longipalpis,19.7364,-88.9565
3221,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3222,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3223,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3224,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3225,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3226,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3227,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3228,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3229,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3230,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3231,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3232,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3233,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3234,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3235,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3236,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3237,Lutzomyia (Lutzomyia) longipalpis,19.5855,-88.5843
3238,Lutzomyia (Lutzomyia) longipalpis,-20.427222,-45.75
3239,Lutzomyia (Lutzomyia) longipalpis,-20.427222,-45.75
3240,Lutzomyia (Lutzomyia) longipalpis,13.294,-87.656
3241,Lutzomyia (Lutzomyia) longipalpis,13.294,-87.656
3242,Lutzomyia (Lutzomyia) longipalpis,13.294,-87.656
3243,Lutzomyia (Lutzomyia) longipalpis,13.294,-87.656
3244,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
3245,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
3246,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3247,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3248,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3249,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3250,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3251,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3252,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3253,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3254,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3255,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3256,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3257,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
3258,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3259,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3260,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3261,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3262,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3263,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
3264,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3265,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3266,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3267,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3268,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3269,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
3270,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
3271,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3272,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
3273,Lutzomyia (Lutzomyia) longipalpis,-19.9208,-43.9378
3274,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3275,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3276,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3277,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3278,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3279,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3280,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3281,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3282,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3283,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3284,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3285,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3286,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3287,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3288,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3289,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3290,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3291,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3292,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3293,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
3294,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
