,scientificName,decimalLatitude,decimalLongitude
6795,Nyssomyia anduzei,-0.366667,-51.0664
6796,Nyssomyia anduzei,-3.10194,-60.025
6797,Nyssomyia anduzei,-3.10194,-60.025
6798,Nyssomyia anduzei,-3.10194,-60.025
6799,Nyssomyia anduzei,-3.10194,-60.025
6800,Nyssomyia anduzei,-3.10194,-60.025
6801,Nyssomyia anduzei,-3.10194,-60.025
6802,Nyssomyia anduzei,-3.10194,-60.025
6803,Nyssomyia anduzei,-3.10194,-60.025
6804,Nyssomyia anduzei,-3.10194,-60.025
6805,Nyssomyia anduzei,-3.10194,-60.025
6806,Nyssomyia anduzei,-3.10194,-60.025
6807,Nyssomyia anduzei,-3.10194,-60.025
6808,Nyssomyia anduzei,-3.10194,-60.025
6809,Nyssomyia anduzei,-3.10194,-60.025
6810,Nyssomyia anduzei,-3.10194,-60.025
6811,Nyssomyia anduzei,-3.10194,-60.025
6812,Nyssomyia anduzei,-3.10194,-60.025
6813,Nyssomyia anduzei,-3.10194,-60.025
6814,Nyssomyia anduzei,-3.10194,-60.025
6815,Nyssomyia anduzei,-3.10194,-60.025
6816,Nyssomyia anduzei,-3.10194,-60.025
6817,Nyssomyia anduzei,-3.10194,-60.025
6818,Nyssomyia anduzei,-3.10194,-60.025
6819,Nyssomyia anduzei,-3.10194,-60.025
6820,Nyssomyia anduzei,-3.10194,-60.025
6821,Nyssomyia anduzei,-3.10194,-60.025
6822,Nyssomyia anduzei,-3.10194,-60.025
6823,Nyssomyia anduzei,-3.10194,-60.025
6824,Nyssomyia anduzei,-3.10194,-60.025
6825,Nyssomyia anduzei,-3.10194,-60.025
6826,Nyssomyia anduzei,-3.10194,-60.025
6827,Nyssomyia anduzei,-3.10194,-60.025
6828,Nyssomyia anduzei,-3.10194,-60.025
6829,Nyssomyia anduzei,-10.7828,-65.3394
6830,Nyssomyia anduzei,-1.29389,-47.9264
6831,Nyssomyia anduzei,-1.29389,-47.9264
6832,Nyssomyia anduzei,-19.3911,-40.0722
6833,Nyssomyia anduzei,-19.3911,-40.0722
6834,Nyssomyia anduzei,-3.10194,-60.025
6835,Nyssomyia anduzei,-3.10194,-60.025
6836,Nyssomyia anduzei,-3.10194,-60.025
6837,Nyssomyia anduzei,-3.10194,-60.025
6838,Nyssomyia anduzei,-3.10194,-60.025
6839,Nyssomyia anduzei,-3.10194,-60.025
6840,Nyssomyia anduzei,-3.10194,-60.025
6841,Nyssomyia anduzei,-3.10194,-60.025
6842,Nyssomyia anduzei,-3.10194,-60.025
6843,Nyssomyia anduzei,-3.10194,-60.025
6844,Nyssomyia anduzei,-3.10194,-60.025
6845,Nyssomyia anduzei,-3.10194,-60.025
6846,Nyssomyia anduzei,-3.10194,-60.025
6847,Nyssomyia anduzei,-3.10194,-60.025
6848,Nyssomyia anduzei,-3.10194,-60.025
6849,Nyssomyia anduzei,-3.10194,-60.025
6850,Nyssomyia anduzei,-3.10194,-60.025
6851,Nyssomyia anduzei,-3.10194,-60.025
6852,Nyssomyia anduzei,-3.10194,-60.025
6853,Nyssomyia anduzei,-3.10194,-60.025
6854,Nyssomyia anduzei,-3.10194,-60.025
6855,Nyssomyia anduzei,-3.10194,-60.025
6856,Nyssomyia anduzei,-3.10194,-60.025
6857,Nyssomyia anduzei,-3.10194,-60.025
6858,Nyssomyia anduzei,-3.10194,-60.025
6859,Nyssomyia anduzei,-3.10194,-60.025
6860,Nyssomyia anduzei,-3.10194,-60.025
6861,Nyssomyia anduzei,-3.10194,-60.025
6862,Nyssomyia anduzei,-3.10194,-60.025
6863,Nyssomyia anduzei,-3.10194,-60.025
6864,Nyssomyia anduzei,-3.10194,-60.025
