,scientificName,decimalLatitude,decimalLongitude
1948,Lutzomyia (Helcocyrtomyia) hartmanni,5.3333,-74.9333
1949,Lutzomyia (Helcocyrtomyia) hartmanni,5.3333,-74.9333
1950,Lutzomyia (Helcocyrtomyia) hartmanni,5.3333,-74.9333
1951,Lutzomyia (Helcocyrtomyia) hartmanni,5.33,-74.93
1952,Lutzomyia (Helcocyrtomyia) hartmanni,5.33,-74.93
1953,Lutzomyia (Helcocyrtomyia) hartmanni,5.33,-74.93
1954,Lutzomyia (Helcocyrtomyia) hartmanni,5.3333,-74.9333
1955,Lutzomyia (Helcocyrtomyia) hartmanni,5.33,-74.93
4845,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
4846,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
4847,Lutzomyia (Tricholateralis) gomezi,4.986045,-72.603545
4848,Lutzomyia (Tricholateralis) gomezi,8.825083,-75.51825
4849,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4850,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4851,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4852,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4853,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4854,Lutzomyia (Tricholateralis) gomezi,5.3808,-75.7908
4855,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
4856,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
4857,Lutzomyia (Tricholateralis) gomezi,5.38,-75.79
4858,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
4859,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
4860,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4861,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4862,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4863,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4864,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4865,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4866,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
4867,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
4868,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
4869,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
4870,Lutzomyia (Tricholateralis) gomezi,9.164,-79.863
4871,Lutzomyia (Tricholateralis) gomezi,9.161,-79.861
4872,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4873,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4874,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4875,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4876,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4877,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4878,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4879,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4880,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4881,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4882,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4883,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4884,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4885,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4886,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4887,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4888,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4889,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4890,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4891,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4892,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4893,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4894,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
