,scientificName,decimalLatitude,decimalLongitude
18141,Lutzomyia (Helcocyrtomyia) peruensis,-10.244722,-77.434444
18142,Lutzomyia (Helcocyrtomyia) peruensis,-10.255556,-77.480833
18143,Lutzomyia (Helcocyrtomyia) peruensis,-10.25,-77.483333
18144,Lutzomyia (Helcocyrtomyia) peruensis,-11.466667,-76.616667
18145,Lutzomyia (Helcocyrtomyia) peruensis,-10.076667,-77.472778
18146,Lutzomyia (Helcocyrtomyia) peruensis,-11.916667,-76.416667
18147,Lutzomyia (Helcocyrtomyia) peruensis,-8.916667,-77.833333
18148,Lutzomyia (Helcocyrtomyia) peruensis,-9.416667,-77.666667
18149,Lutzomyia (Helcocyrtomyia) peruensis,-9.316944,-77.550833
18150,Lutzomyia (Helcocyrtomyia) peruensis,-7.333333,-78.916667
18151,Lutzomyia (Helcocyrtomyia) peruensis,-5.5,-79.583333
18152,Lutzomyia (Helcocyrtomyia) peruensis,-10.782222,-77.2675
18153,Lutzomyia (Helcocyrtomyia) peruensis,-13.25,-72.333333
18154,Lutzomyia (Helcocyrtomyia) peruensis,-13.254722,-72.263333
18155,Lutzomyia (Helcocyrtomyia) peruensis,-11.940833,-76.5065
18156,Lutzomyia (Helcocyrtomyia) peruensis,-13.166667,-71.416667
18157,Lutzomyia (Helcocyrtomyia) peruensis,-13.0,-72.166667
18158,Lutzomyia (Helcocyrtomyia) peruensis,-12.0,-73.0
18159,Lutzomyia (Helcocyrtomyia) peruensis,-8.1425,-77.941944
18160,Lutzomyia (Helcocyrtomyia) peruensis,-13.268611,-71.957778
18161,Lutzomyia (Helcocyrtomyia) peruensis,-8.333333,-78.25
18162,Lutzomyia (Helcocyrtomyia) peruensis,-8.292778,-77.2375
18163,Lutzomyia (Helcocyrtomyia) peruensis,-10.2125,-77.211667
18164,Lutzomyia (Helcocyrtomyia) peruensis,-11.443889,-75.604444
18165,Lutzomyia (Helcocyrtomyia) peruensis,-11.85,-76.5
18166,Lutzomyia (Helcocyrtomyia) peruensis,-8.348889,-78.244444
18167,Lutzomyia (Helcocyrtomyia) peruensis,-7.631389,-78.031944
18168,Lutzomyia (Helcocyrtomyia) peruensis,-7.9,-78.583333
18169,Lutzomyia (Helcocyrtomyia) peruensis,-9.166667,-77.75
18170,Lutzomyia (Helcocyrtomyia) peruensis,-8.258056,-77.730556
18171,Lutzomyia (Helcocyrtomyia) peruensis,-13.260833,-72.0875
18172,Lutzomyia (Helcocyrtomyia) peruensis,-12.098889,-77.036667
18173,Lutzomyia (Helcocyrtomyia) peruensis,-13.271944,-72.178889
18174,Lutzomyia (Helcocyrtomyia) peruensis,-13.245556,-72.251667
18175,Lutzomyia (Helcocyrtomyia) peruensis,-13.261667,-72.218611
18176,Lutzomyia (Helcocyrtomyia) peruensis,-11.475278,-76.582222
18177,Lutzomyia (Helcocyrtomyia) peruensis,-9.093333,-77.666389
18178,Lutzomyia (Helcocyrtomyia) peruensis,-8.866667,-77.9
18179,Lutzomyia (Helcocyrtomyia) peruensis,-9.527778,-77.527778
18180,Lutzomyia (Helcocyrtomyia) peruensis,-11.282778,-76.080833
18181,Lutzomyia (Helcocyrtomyia) peruensis,-7.334722,-78.802778
18182,Lutzomyia (Helcocyrtomyia) peruensis,-5.196667,-79.497222
